first_seen,last_updated,post_id,post_url,handle,creator,discovered_via,found_by,posted_iso,text,paper_keys,views,likes,reposts,replies,quotes,bookmarks,engagement,reach
2026-07-20,2026-07-20,2077792894459793714,https://x.com/omarsar0/status/2077792894459793714,omarsar0,Elvis Saravia,,@omarsar0,2026-07-16T16:30:04+00:00,"Highly-recommended overview of self-improving agentic systems. (bookmark it) Self-improving agents are moving from research demos into deployed systems. This survey frames a modern agent as a foundation model coupled with an operational scaffold, then formalizes self-improvement as a self-induced update operator that commits changes to either. Paper: https://t.co/VMpAGWKMYg Learn to build effectiv",arxiv:2607.13104,44361,786,148,37,7,1128,3389,213811
2026-07-20,2026-07-20,2078122558059327745,https://x.com/omarsar0/status/2078122558059327745,omarsar0,Elvis Saravia,,@omarsar0,2026-07-17T14:20:02+00:00,"Great research paper on optimizing harnesses. (bookmark it) There is a lot of alpha in building a harness. And you don't need much to keep them optimized. This paper argues you can do this effectively using the harness own executions. The harness is the external control layer that turns a base LLM into an executable agent. Automatic improvement methods optimize a narrow part of it, usually prompts",arxiv:2607.14159,35501,536,87,29,7,906,2565,163751
2026-07-20,2026-07-20,2077045732268560738,https://x.com/omarsar0/status/2077045732268560738,omarsar0,Elvis Saravia,dair_ai,@dair_ai,2026-07-14T15:01:06+00:00,"Highly-recommended overview of metacognition in LLMs. (bookmark it) Interesting behaviors in LLMs like confidence calibration, self-verification, knowing when to stop, and knowing what you do not know have mostly been studied in isolation. This survey argues they are facets of one thing, metacognition, and proposes a comprehensive map of it. The authors taxonomize methods and benchmarks for measur",arxiv:2607.11881,34880,462,84,26,12,588,1856,127680
2026-07-20,2026-07-20,2075603504543269136,https://x.com/omarsar0/status/2075603504543269136,omarsar0,Elvis Saravia,dair_ai,@dair_ai,2026-07-10T15:30:12+00:00,"New research from Meta. (bookmark it) It's on how to fix agents that forget previously made decisions. It's well know that long-horizon agents keep forgetting decisions they already made. Meta researchers give this failure a name, behavioral state decay, where task facts, prior attempts, and open subgoals get buried in the context window or pushed past it, so they stop influencing the next action.",arxiv:2607.08716,42606,367,58,23,8,486,1494,117306
2026-07-20,2026-07-20,2076340103115407578,https://x.com/cwolferesearch/status/2076340103115407578,cwolferesearch,Cameron Wolfe,,@cwolferesearch,2026-07-12T16:17:11+00:00,Open tech reports / artifacts are so valuable. I'm currently reading through all of the nemotron tech reports and they are absolute gold (and open code / data in many cases). No better way to learn: - https://t.co/NqdZMZo6R5 - https://t.co/kzwwH0N8fQ - https://t.co/lCpE1GzxSi - https://t.co/YzDEaH0QUB - https://t.co/HbJgdcTLOP - https://t.co/yYFMDgG70i,arxiv:2505.00949 arxiv:2508.14444 arxiv:2512.20856 arxiv:2606.15007 arxiv:2512.13607 arxiv:2603.19220,33363,367,36,4,2,503,1453,106013
2026-07-20,2026-07-20,2077048984812896677,https://x.com/dair_ai/status/2077048984812896677,dair_ai,DAIR.AI,dair_ai,@dair_ai,2026-07-14T15:14:02+00:00,"New research from Google DeepMind on effective model routing. LLM routers get judged on accuracy and cost. Both can look great while the router is meaningless. If every model in your society responds the same way, routing is vacuous, you get the same answers no matter where queries land. And if paraphrases of one query get sent to different experts, the router is unstable, so its assignments carry",arxiv:2607.09197,31274,154,24,6,3,183,580,60274
2026-07-20,2026-07-20,2077202529382003176,https://x.com/BhavinJawade/status/2077202529382003176,BhavinJawade,BhavinJawade,cwolferesearch,@cwolferesearch,2026-07-15T01:24:10+00:00,"𝗗𝗲𝗲𝗽𝗦𝗲𝗲𝗸 𝗩𝟰 𝗽𝗼𝘀𝘁-𝘁𝗿𝗮𝗶𝗻𝗶𝗻𝗴 𝗿𝗲𝗰𝗶𝗽𝗲 DeepSeek V4 came out a couple of months ago. I finally sat down and went through the technical report (https://t.co/iC4qOjeep8). In this post I'll go through the post-training recipe of DeepSeek V4. Interestingly, their post-training strategy makes no explicit mention of preference tuning using RLHF, DPO, or similar preference tuning strategies. Rather, their train",arxiv:2606.19348 arxiv:2504.02495 arxiv:2602.01511 arxiv:2511.19399 arxiv:2606.30406 arxiv:2306.08543 arxiv:2603.19220,24984,186,29,1,1,207,661,58034
2026-07-20,2026-07-20,2078585861315432645,https://x.com/omarsar0/status/2078585861315432645,omarsar0,Elvis Saravia,,@omarsar0,2026-07-18T21:01:02+00:00,"// Agents Do Not Fail Alone // Very nice open-source eval tool to check agent reliability. Lots of cool ideas in there. (bookmark it) What's the problem? Context engineering has become central to building reliable agents but it remains almost entirely unmeasured. Instructions, tools, memory, retrieved knowledge, guardrails, and untrusted inputs all accumulate in the context, and when that gets wea",arxiv:2607.14275,16123,191,25,44,3,227,745,53373
2026-07-20,2026-07-20,2078527476037529862,https://x.com/dair_ai/status/2078527476037529862,dair_ai,DAIR.AI,omarsar0,@omarsar0,2026-07-18T17:09:02+00:00,"AI agent coordination is going to be the next leap in AI. This paper talks about the problem of multi-agent exploration and how to improve it. (bookmark it) Let's break it down: The default assumption in multi-agent work is that capable LLMs, placed together, will probe each other and self-organize into good coordination. New research shows they do not. Modern LLM agents fail to explore each other",arxiv:2607.11250,16976,184,40,19,7,197,691,51526
2026-07-20,2026-07-20,2077418921536410080,https://x.com/omarsar0/status/2077418921536410080,omarsar0,Elvis Saravia,,@omarsar0,2026-07-15T15:44:02+00:00,"NEW paper from Microsoft and colleagues. Debugging agent trajectories at scale is challenging. This is a clever approach to monitor and improve agents in production. The problem: Finding which step in a failed agent run caused the failure usually means one of two costly options. Run an expensive prompting pipeline over the whole trajectory, or post-train on failure data with step-level error label",arxiv:2607.12747,17213,161,21,12,2,193,605,47463
